,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,E04-06 - 2018-03-08 22.01.33,E599-88 - 2018-05-02 10.02.29
1,E636-13 - 2018-03-28 10.25.20,E187-10 - 2018-03-08 20.06.33,E435-86 - 2018-05-01 15.18.08
2,N2018-13-1A - 2018-03-28 12.36.36,N1391-17-1-A-17 - 2018-04-05 23.32.38,N278-76 - 2018-04-26 15.07.36
3,N47-80-B - 2018-04-26 20.12.50,N1391-17-1-B-2 - 2018-04-05 23.40.22,E205-06 - 2018-03-08 22.15.53
4,946-90 - 2018-04-11 09.47.49,N1391-17-1-C-2 - 2018-04-05 23.49.29,E613-90 - 2018-04-10 19.45.54
5,857-95-I - 2018-04-16 12.10.27,N1391-17-2-A-1 - 2018-04-05 23.54.09,E613-90 - 2018-04-10 19.58.20
6,857-95-I - 2018-04-16 12.14.13,N141-78 - 2018-04-26 18.09.25,E303-94-A - 2018-04-12 20.41.43
7,E160-85 - 2018-05-01 13.48.07,E484-93-1 - 2018-04-12 18.05.18,737-98-I - 2018-04-18 09.52.29
8,E451-13 - 2018-03-27 15.21.36,E484-93-1 - 2018-04-12 18.18.30,N515-75 - 2018-04-26 14.42.34
9,E451-13 - 2018-03-27 15.27.55,E878-91 - 2018-04-11 00.15.19,164-99-IA - 2018-04-18 11.01.35
10,E125-95 - 2018-04-16 13.35.36,124-00 - 2018-04-18 11.37.05,
11,E713-01-B - 2018-04-13 14.51.28,E326-01-I-B - 2018-04-13 15.24.00,
12,N1662-15-1-A-13 - 2018-04-05 17.59.29,E326-01-II - 2018-04-13 14.21.52,
13,E314-09 - 2018-03-09 00.40.12,E326-01-III - 2018-04-13 14.28.00,
14,E37-02-B - 2018-04-13 15.33.35,N499-91 - 2018-04-10 23.48.27,
15,N1074-17-1-A-14 - 2018-04-05 22.36.35,E231-12-B - 2018-03-27 11.57.44,
16,N1074-17-1-B-3 - 2018-04-05 22.53.07,E231-12-C - 2018-03-27 16.51.14,
17,N1074-17-1-C-3 - 2018-04-05 23.01.52,E231-12B - 2018-03-27 12.13.55,
18,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
19,307-91 - 2018-04-10 23.26.34,,
20,1037-98-I - 2018-04-18 10.51.35,,
21,E1012-11-1 - 2018-03-27 11.45.31,,
22,E1012-11-II - 2018-03-27 11.41.30,,
23,E1012-11-III - 2018-03-27 11.36.41,,
24,E341-03,,
25,354-95 - 2018-04-16 10.23.47,,
26,354-95 - 2018-04-16 10.37.23,,
27,E306-02 - 2018-04-13 15.05.47,,
28,723-86 - 2018-05-01 15.29.45,,
29,N508-76 - 2018-04-26 15.21.24,,
30,E308-87 - 2018-05-01 16.00.46,,
31,E524-95 - 2018-04-16 11.35.11,,
32,E524-95 - 2018-04-16 11.42.36,,
33,E665-07 - 2018-03-08 23.32.41,,
34,N235-91 - 2018-04-11 11.04.35,,
35,E179-89 - 2018-05-02 18.36.24,,
36,E187-89 - 2018-05-02 18.45.39,,
37,E909-87 - 2018-05-01 16.30.36,,
38,N483-79 - 2018-04-26 20.04.03,,
39,E1080-09 - 2018-03-09 01.09.54,,
40,E1080-09B - 2018-03-09 01.23.45,,
41,E936-91-A - 2018-04-11 00.43.04,,
42,E936-91-a - 2018-04-11 00.22.25,,
43,E936-91-b - 2018-04-11 00.31.13,,
44,N1145-91,,
45,306-98-I - 2018-04-18 09.33.51,,
46,306-98-I - 2018-04-23 14.23.51,,
47,E635-93 - 2018-04-12 18.30.38,,
48,E635-93 - 2018-04-12 18.39.38,,
49,E580-12 - 2018-03-27 13.07.08,,
50,E131-13A - 2018-03-27 14.30.15,,
51,E131-13B - 2018-03-27 14.47.06,,
52,E131-13C - 2018-03-27 15.04.13,,
53,E623-13B - 2018-03-28 10.19.55,,
54,N331-15-1-A-13 - 2018-04-05 16.59.16,,
