,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,N2910-17-1-A-1 - 2018-04-06 00.24.22,N18-4192
1,2021-07-06 17.54.48,N2872-17-1-B-2 - 2018-04-06 00.29.15,737-98-I - 2018-04-18 09.52.29
2,E341-03,N2872-17-1-C-10 - 2018-04-06 01.17.50,E1177-13 - 2018-03-28 11.04.50
3,N483-79 - 2018-04-26 20.04.03,N2872-17-1-D-2 - 2018-04-06 00.44.54,E658-90-A - 2018-04-10 20.12.47
4,E515-00 - 2018-04-18 12.06.34,N2872-17-1-E-2 - 2018-04-06 01.02.09,E658-90-B - 2018-04-10 20.30.45
5,E821-09 - 2018-03-09 00.54.05,E845-10 - 2018-03-08 20.49.33,E658-90-B - 2018-04-10 20.51.02
6,N210-78-A - 2018-04-26 18.34.59,1037-98-I - 2018-04-18 10.51.35,E909-87 - 2018-05-01 16.30.36
7,N2015002181N1-A-14 - 2021-07-06 13.30.21,857-95-I - 2018-04-16 12.10.27,N2424-16-1-A-5 - 2018-04-05 18.30.46
8,E538-03,857-95-I - 2018-04-16 12.14.13,N2424-16-1-B-5 - 2018-04-05 18.42.39
9,2021-07-06 13.44.14,N3353-17-1-A-21 - 2018-04-06 01.34.31,N2424-16-1-D-5 - 2018-04-05 18.59.59
10,N2428-17-1-A-21 - 2018-04-05 23.58.11,N3353-17-2-A-6 - 2018-04-06 09.24.05,N2424-16-1-E-29 - 2018-04-05 19.12.14
11,N511-76-WNT - 2018-04-26 17.42.49,N3353-17-2-B-9 - 2018-04-06 01.38.31,N2424-16-1-E-5 - 2018-04-06 08.59.38
12,2021-07-06 12.02.27,E795-15-A - 2018-04-05 17.32.23,E44-90-A - 2018-04-10 17.13.58
13,2021-07-06 12.40.22,E795-15-B - 2018-04-05 17.23.42,E44-90-B - 2018-04-10 17.49.10
14,1025-98 - 2018-04-18 10.44.26,,
15,E156-98-A - 2018-04-23 14.16.27,,
16,N16-1903_a,,
17,N16-1903_b,,
18,N16-1903_c,,
19,N16-3919_b,,
20,N16-3919_c,,
21,N17-914_b,,
22,N17-1312,,
23,E385-00 - 2018-04-18 12.01.56,,
24,N47-80-B - 2018-04-26 20.12.50,,
25,E618-05 - 2018-03-08 21.24.02,,
26,E125-95 - 2018-04-16 13.35.36,,
27,N517-12D - 2018-03-27 12.41.53,,
28,N517-12E - 2018-03-27 12.55.23,,
29,E326-01-I-B - 2018-04-13 15.24.00,,
30,E326-01-II - 2018-04-13 14.21.52,,
31,E326-01-III - 2018-04-13 14.28.00,,
32,E231-12-B - 2018-03-27 11.57.44,,
33,E231-12-C - 2018-03-27 16.51.14,,
34,E231-12B - 2018-03-27 12.13.55,,
35,E1012-11-1 - 2018-03-27 11.45.31,,
36,E1012-11-II - 2018-03-27 11.41.30,,
37,E1012-11-III - 2018-03-27 11.36.41,,
38,E434-02-I - 2018-04-13 16.08.34,,
39,E434-02-II - 2018-04-13 16.23.44,,
40,E465-02 - 2018-04-16 09.55.18,,
41,E465-02-A - 2018-04-16 09.43.13,,
42,E253-89 - 2018-05-02 18.57.52,,
43,E586-85 - 2018-05-01 14.31.34,,
44,E586-85 - 2018-05-01 14.40.47,,
45,E524-95 - 2018-04-16 11.35.11,,
46,E524-95 - 2018-04-16 11.42.36,,
47,118-98-II - 2018-04-23 14.10.20,,
48,338-97-I - 2018-04-23 13.35.08,,
49,935-95 - 2018-04-16 12.28.05,,
50,N539-13 - 2018-03-28 10.01.02,,
51,E465-90-A - 2018-04-10 18.03.23,,
52,E465-90-B - 2018-04-10 18.18.59,,
53,N331-15-1-A-13 - 2018-04-05 16.59.16,,
54,N331-15-2-A-31 - 2018-04-06 08.32.52,,
55,N1580-14-1-A-15 - 2018-03-28 18.14.22,,
56,N1580-14-1-B-6 - 2018-03-28 18.27.05,,
57,N1580-14-1-C-5 - 2018-03-28 14.04.34,,
58,N1580-14-1-D-5 - 2018-03-28 17.58.49,,
59,E1179-13II - 2018-03-28 11.33.27,,
60,E1179-13III - 2018-03-28 11.49.02,,
61,E620-06 - 2018-03-08 22.29.32,,
62,E694-07 - 2018-03-08 23.39.02,,
63,EK270-09 - 2018-03-09 00.37.05,,
64,775-92,,
65,93-95 - 2018-04-16 13.25.31,,
66,E871-05-1a - 2018-03-08 21.38.08,,
67,E369-89 - 2018-05-02 19.05.56,,
68,N358-18-1-A-21 - 2018-04-06 02.05.52,,
69,N358-18-1-B-2 - 2018-04-06 09.39.26,,
70,E411-10A - 2018-03-08 20.23.01,,
71,478-96-7-I-C - 2018-04-23 13.57.36,,
72,478-97-I-B - 2018-04-23 13.49.05,,
73,E1036-88 - 2018-05-02 17.27.58,,
74,E1071-88-A - 2018-05-02 17.36.08,,
75,Ek1253-13A - 2018-03-28 12.00.38,,
76,Ek1253-13B - 2018-03-28 12.14.06,,
77,E760-07 - 2018-03-08 23.55.26,,
78,E173-10A - 2018-03-09 01.37.57,,
79,E940-10 - 2018-03-08 21.04.26,,
80,E578-90-A - 2018-04-10 19.12.37,,
81,E578-90-B - 2018-04-11 09.32.07,,
