,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,118-98-II - 2018-04-23 14.10.20,549-00-II - 2018-04-18 12.13.56
1,N1743-12 - 2018-03-27 13.53.06,338-97-I - 2018-04-23 13.35.08,25-95-I - 2018-04-16 10.19.32
2,N950-14 - 2018-03-28 17.16.47,935-95 - 2018-04-16 12.28.05,E465-90-A - 2018-04-10 18.03.23
3,N950-14 - 2018-03-28 17.35.44,N1948-14-2-B-5 - 2018-03-28 14.15.16,E465-90-B - 2018-04-10 18.18.59
4,857-95-I - 2018-04-16 12.10.27,659-95-I - 2018-04-16 13.43.09,426-88 - 2018-05-02 09.37.06
5,857-95-I - 2018-04-16 12.14.13,E936-91-A - 2018-04-11 00.43.04,
6,E326-01-I-B - 2018-04-13 15.24.00,E936-91-a - 2018-04-11 00.22.25,
7,E326-01-II - 2018-04-13 14.21.52,E936-91-b - 2018-04-11 00.31.13,
8,E326-01-III - 2018-04-13 14.28.00,,
9,E306-02 - 2018-04-13 15.05.47,,
10,E205-06 - 2018-03-08 22.15.53,,
11,E374-10 - 2018-03-08 20.11.33,,
12,N1145-91,,
13,306-98-I - 2018-04-18 09.33.51,,
14,306-98-I - 2018-04-23 14.23.51,,
15,N980-93 - 2018-04-12 19.25.47,,
16,236-91 - 2018-04-11 14.46.24,,
17,E236-91 - 2018-04-10 22.54.09,,
18,E236-91-B - 2018-04-11 10.12.44,,
19,E620-06 - 2018-03-08 22.29.32,,
20,E694-07 - 2018-03-08 23.39.02,,
21,EK270-09 - 2018-03-09 00.37.05,,
22,775-92,,
23,93-95 - 2018-04-16 13.25.31,,
24,450-95-I - 2018-04-16 10.57.33,,
25,450-95-I - 2018-04-16 11.08.51,,
26,450-95-I - 2018-04-16 11.18.54,,
27,E515-00 - 2018-04-18 12.06.34,,
28,E411-10A - 2018-03-08 20.23.01,,
29,846-95-I - 2018-04-16 12.06.25,,
30,E984-06 - 2018-03-08 22.52.06,,
31,365-95 - 2018-04-16 10.46.09,,
32,E1-2009 - 2018-03-09 00.25.12,,
33,E255-84 - 2018-05-01 13.36.44,,
34,N2-95 - 2018-04-16 13.21.32,,
35,N26-91,,
36,E118-13A - 2018-03-27 14.01.22,,
37,E118-13B - 2018-03-27 14.06.12,,
38,E118-13D - 2018-03-27 14.16.39,,
39,E1254-13I-II - 2018-03-28 12.26.56,,
40,E621-14IA - 2018-03-28 12.51.43,,
41,E621-14IB - 2018-03-28 13.03.12,,
42,E621-14II - 2018-03-28 13.14.24,,
43,949-86 - 2018-05-01 15.45.54,,
44,N 266-93-II - 2018-04-12 19.42.58,,
45,798-98 - 2018-04-18 10.29.38,,
46,235-88-I - 2018-05-01 16.54.37,,
47,E622-10 - 2018-03-08 20.30.55,,
48,1025-98 - 2018-04-18 10.44.26,,
49,709-97 - 2018-04-23 14.07.45,,
50,E385-00 - 2018-04-18 12.01.56,,
51,E618-05 - 2018-03-08 21.24.02,,
52,946-90 - 2018-04-11 09.47.49,,
53,E125-95 - 2018-04-16 13.35.36,,
54,N517-12D - 2018-03-27 12.41.53,,
55,N517-12E - 2018-03-27 12.55.23,,
56,E713-01-B - 2018-04-13 14.51.28,,
57,E314-09 - 2018-03-09 00.40.12,,
58,E37-02-B - 2018-04-13 15.33.35,,
59,N1074-17-1-A-14 - 2018-04-05 22.36.35,,
60,N1074-17-1-B-3 - 2018-04-05 22.53.07,,
61,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
62,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
63,E341-03,,
64,354-95 - 2018-04-16 10.23.47,,
65,354-95 - 2018-04-16 10.37.23,,
66,N528-91 - 2018-04-11 10.23.45,,
67,E434-02-I - 2018-04-13 16.08.34,,
68,E434-02-II - 2018-04-13 16.23.44,,
69,E465-02 - 2018-04-16 09.55.18,,
70,E465-02-A - 2018-04-16 09.43.13,,
71,723-86 - 2018-05-01 15.29.45,,
72,E308-87 - 2018-05-01 16.00.46,,
73,E484-93-1 - 2018-04-12 18.05.18,,
74,E484-93-1 - 2018-04-12 18.18.30,,
75,N235-91 - 2018-04-11 11.04.35,,
76,E878-91 - 2018-04-11 00.15.19,,
77,E1080-09 - 2018-03-09 01.09.54,,
78,E1080-09B - 2018-03-09 01.23.45,,
79,41-94 - 2018-04-12 19.58.45,,
80,E635-93 - 2018-04-12 18.30.38,,
81,E635-93 - 2018-04-12 18.39.38,,
82,478-96-7-I-C - 2018-04-23 13.57.36,,
83,478-97-I-B - 2018-04-23 13.49.05,,
84,E1036-88 - 2018-05-02 17.27.58,,
85,E303-94-A - 2018-04-12 20.41.43,,
86,277-94 - 2018-04-12 20.21.54,,
87,N210-78-A - 2018-04-26 18.34.59,,
88,N527-92 - 2018-04-11 01.19.27,,
89,N527-92 - 2018-04-11 11.18.21,,
90,N1199-91 - 2018-04-11 11.09.29,,
91,E173-10A - 2018-03-09 01.37.57,,
92,E940-10 - 2018-03-08 21.04.26,,
93,E538-03,,
94,384-81 - 2018-04-26 21.53.39,,
95,1011-92 - 2018-04-11 01.35.33,,
96,E1054-68 - 2018-04-26 12.02.39,,
97,E786-95 - 2018-04-16 11.58.00,,
98,N499-91 - 2018-04-10 23.48.27,,
99,647-88 - 2018-05-02 10.13.12,,
100,E863-87 - 2018-05-01 16.18.21,,
101,E732-04 - 2018-03-08 21.10.39,,
102,387-94-I - 2018-04-12 21.37.38,,
103,N1366-92 - 2018-04-11 11.28.21,,
104,371-02 - 2018-04-13 15.50.14,,
105,E1079-14 - 2018-03-28 17.45.25,,
106,E301-07 - 2018-03-08 23.10.37,,
107,E301-07 - 2018-03-08 23.25.15,,
108,E951-12 - 2018-03-27 13.38.29,,
109,1020-93 - 2018-04-12 20.11.04,,
